Sample Name,Target Name,CT
A1-1,A.muc,30.051
A1-1,Firmicutes,17.849
A1-1,Bacteroidetes,15.162
A1-1,Lactobucillius,Undetermined
A1-1,Bifido,26.239
A1-1,Parab,29.950
A1-1,16S,14.352
A1-1,A.muc,30.485
A1-1,Firmicutes,17.825
A1-1,Bacteroidetes,15.658
A1-1,Lactobucillius,Undetermined
A1-1,Bifido,29.735
A1-1,Parab,33.217
A1-1,16S,14.178
A1-1,A.muc,31.345
A1-1,Firmicutes,18.315
A1-1,Bacteroidetes,15.536
A1-1,Lactobucillius,Undetermined
A1-1,Bifido,26.617
A1-1,Parab,30.381
A1-1,16S,14.499
A1-2,A.muc,28.553
A1-2,Firmicutes,17.264
A1-2,Bacteroidetes,14.145
A1-2,Lactobucillius,39.915
A1-2,Bifido,21.847
A1-2,Parab,25.960
A1-2,16S,13.405
A1-2,A.muc,Undetermined
A1-2,Firmicutes,16.414
A1-2,Bacteroidetes,14.578
A1-2,Lactobucillius,37.632
A1-2,Bifido,24.933
A1-2,Parab,29.356
A1-2,16S,12.989
A1-2,A.muc,28.698
A1-2,Firmicutes,17.504
A1-2,Bacteroidetes,14.628
A1-2,Lactobucillius,39.165
A1-2,Bifido,22.074
A1-2,Parab,26.390
A1-2,16S,13.303
A1-3,A.muc,26.880
A1-3,Firmicutes,17.418
A1-3,Bacteroidetes,15.941
A1-3,Lactobucillius,38.466
A1-3,Bifido,24.833
A1-3,Parab,31.386
A1-3,16S,13.997
A1-3,A.muc,26.726
A1-3,Firmicutes,16.973
A1-3,Bacteroidetes,16.013
A1-3,Lactobucillius,35.391
A1-3,Bifido,25.882
A1-3,Parab,32.663
A1-3,16S,13.939
A1-3,A.muc,28.823
A1-3,Firmicutes,17.619
A1-3,Bacteroidetes,16.061
A1-3,Lactobucillius,Undetermined
A1-3,Bifido,24.893
A1-3,Parab,30.644
A1-3,16S,14.509
A2-1,A.muc,29.218
A2-1,Firmicutes,14.542
A2-1,Bacteroidetes,14.188
A2-1,Lactobucillius,34.674
A2-1,Bifido,22.831
A2-1,Parab,26.726
A2-1,16S,12.477
A2-1,A.muc,29.295
A2-1,Firmicutes,14.431
A2-1,Bacteroidetes,15.015
A2-1,Lactobucillius,34.877
A2-1,Bifido,25.626
A2-1,Parab,29.754
A2-1,16S,12.325
A2-1,A.muc,29.509
A2-1,Firmicutes,15.247
A2-1,Bacteroidetes,15.260
A2-1,Lactobucillius,37.152
A2-1,Bifido,22.664
A2-1,Parab,26.368
A2-1,16S,12.867
A2-2,A.muc,31.484
A2-2,Firmicutes,17.409
A2-2,Bacteroidetes,16.670
A2-2,Lactobucillius,35.919
A2-2,Bifido,21.674
A2-2,Parab,25.593
A2-2,16S,14.970
A2-2,A.muc,31.630
A2-2,Firmicutes,17.231
A2-2,Bacteroidetes,16.915
A2-2,Lactobucillius,34.995
A2-2,Bifido,22.335
A2-2,Parab,27.532
A2-2,16S,14.819
A2-2,A.muc,32.967
A2-2,Firmicutes,17.530
A2-2,Bacteroidetes,16.393
A2-2,Lactobucillius,34.647
A2-2,Bifido,22.037
A2-2,Parab,26.073
A2-2,16S,15.024
A2-3,A.muc,34.078
A2-3,Firmicutes,15.462
A2-3,Bacteroidetes,16.160
A2-3,Lactobucillius,32.742
A2-3,Bifido,21.349
A2-3,Parab,31.221
A2-3,16S,14.388
A2-3,A.muc,33.363
A2-3,Firmicutes,15.439
A2-3,Bacteroidetes,17.413
A2-3,Lactobucillius,33.789
A2-3,Bifido,26.160
A2-3,Parab,37.637
A2-3,16S,13.838
A2-3,A.muc,34.532
A2-3,Firmicutes,15.936
A2-3,Bacteroidetes,16.248
A2-3,Lactobucillius,32.464
A2-3,Bifido,21.356
A2-3,Parab,30.788
A2-3,16S,13.975
A3-1,A.muc,36.200
A3-1,Firmicutes,15.282
A3-1,Bacteroidetes,15.572
A3-1,Lactobucillius,34.816
A3-1,Bifido,23.980
A3-1,Parab,Undetermined
A3-1,16S,14.573
A3-1,A.muc,35.388
A3-1,Firmicutes,15.118
A3-1,Bacteroidetes,16.474
A3-1,Lactobucillius,34.857
A3-1,Bifido,23.488
A3-1,Parab,38.252
A3-1,16S,14.219
A3-1,A.muc,36.531
A3-1,Firmicutes,15.479
A3-1,Bacteroidetes,15.494
A3-1,Lactobucillius,33.275
A3-1,Bifido,23.486
A3-1,Parab,Undetermined
A3-1,16S,13.687
A3-2,A.muc,32.981
A3-2,Firmicutes,17.549
A3-2,Bacteroidetes,16.749
A3-2,Lactobucillius,34.351
A3-2,Bifido,24.576
A3-2,Parab,Undetermined
A3-2,16S,14.891
A3-2,A.muc,32.711
A3-2,Firmicutes,16.968
A3-2,Bacteroidetes,17.082
A3-2,Lactobucillius,34.969
A3-2,Bifido,24.975
A3-2,Parab,Undetermined
A3-2,16S,15.078
A3-2,A.muc,33.287
A3-2,Firmicutes,17.614
A3-2,Bacteroidetes,17.260
A3-2,Lactobucillius,35.705
A3-2,Bifido,24.859
A3-2,Parab,Undetermined
A3-2,16S,14.967
A3-3,A.muc,34.028
A3-3,Firmicutes,16.256
A3-3,Bacteroidetes,15.026
A3-3,Lactobucillius,34.562
A3-3,Bifido,22.042
A3-3,Parab,Undetermined
A3-3,16S,13.806
A3-3,A.muc,33.956
A3-3,Firmicutes,15.823
A3-3,Bacteroidetes,14.939
A3-3,Lactobucillius,34.651
A3-3,Bifido,21.656
A3-3,Parab,Undetermined
A3-3,16S,13.953
A3-3,A.muc,35.091
A3-3,Firmicutes,16.740
A3-3,Bacteroidetes,15.126
A3-3,Lactobucillius,35.895
A3-3,Bifido,22.604
A3-3,Parab,Undetermined
A3-3,16S,13.840
A4-1,A.muc,28.348
A4-1,Firmicutes,Undetermined
A4-1,Bacteroidetes,15.591
A4-1,Lactobucillius,33.056
A4-1,Bifido,21.233
A4-1,Parab,35.731
A4-1,16S,13.504
A4-1,A.muc,28.382
A4-1,Firmicutes,16.536
A4-1,Bacteroidetes,15.591
A4-1,Lactobucillius,34.580
A4-1,Bifido,20.883
A4-1,Parab,34.388
A4-1,16S,13.264
A4-1,A.muc,28.825
A4-1,Firmicutes,16.946
A4-1,Bacteroidetes,15.794
A4-1,Lactobucillius,34.882
A4-1,Bifido,21.517
A4-1,Parab,36.321
A4-1,16S,13.850
A4-2,A.muc,33.113
A4-2,Firmicutes,15.691
A4-2,Bacteroidetes,14.838
A4-2,Lactobucillius,35.015
A4-2,Bifido,26.913
A4-2,Parab,Undetermined
A4-2,16S,12.941
A4-2,A.muc,31.767
A4-2,Firmicutes,15.457
A4-2,Bacteroidetes,14.006
A4-2,Lactobucillius,33.737
A4-2,Bifido,24.200
A4-2,Parab,Undetermined
A4-2,16S,12.962
A4-2,A.muc,32.728
A4-2,Firmicutes,16.098
A4-2,Bacteroidetes,14.597
A4-2,Lactobucillius,34.156
A4-2,Bifido,25.467
A4-2,Parab,Undetermined
A4-2,16S,12.890
A4-3,A.muc,29.840
A4-3,Firmicutes,16.262
A4-3,Bacteroidetes,15.538
A4-3,Lactobucillius,32.179
A4-3,Bifido,22.129
A4-3,Parab,Undetermined
A4-3,16S,12.960
A4-3,A.muc,27.562
A4-3,Firmicutes,15.037
A4-3,Bacteroidetes,13.989
A4-3,Lactobucillius,31.648
A4-3,Bifido,19.342
A4-3,Parab,34.430
A4-3,16S,13.706
A4-3,A.muc,29.982
A4-3,Firmicutes,16.598
A4-3,Bacteroidetes,15.257
A4-3,Lactobucillius,33.451
A4-3,Bifido,21.301
A4-3,Parab,36.437
A4-3,16S,13.398
A5-1,A.muc,28.921
A5-1,Firmicutes,16.717
A5-1,Bacteroidetes,14.423
A5-1,Lactobucillius,36.277
A5-1,Bifido,24.162
A5-1,Parab,32.528
A5-1,16S,12.840
A5-1,A.muc,26.974
A5-1,Firmicutes,15.314
A5-1,Bacteroidetes,13.586
A5-1,Lactobucillius,35.574
A5-1,Bifido,20.894
A5-1,Parab,30.921
A5-1,16S,13.980
A5-1,A.muc,29.030
A5-1,Firmicutes,17.092
A5-1,Bacteroidetes,15.204
A5-1,Lactobucillius,Undetermined
A5-1,Bifido,23.107
A5-1,Parab,30.748
A5-1,16S,13.908
A5-2,A.muc,35.012
A5-2,Firmicutes,15.980
A5-2,Bacteroidetes,15.627
A5-2,Lactobucillius,Undetermined
