,A.muc,Firmicutes,Bacteroidetes,Lactobucillius,Bifido,Parab,16S
A1+AC0-1,30.051,17.849,15.162,40,26.239,29.95,14.352
A1+AC0-1,30.485,17.825,15.658,40,,,14.178
A1+AC0-1,31.345,18.315,15.536,40,26.617,30.381,14.499
A1+AC0-2,28.553,17.264,14.145,39.915,21.847,25.96,13.405
A1+AC0-2,,16.414,14.578,,,,12.989
A1+AC0-2,28.698,17.504,14.628,39.165,22.074,26.39,13.303
A1+AC0-3,26.88,17.418,15.941,38.466,24.833,31.386,13.997
A1+AC0-3,26.726,16.973,16.013,,25.882,32.663,13.939
A1+AC0-3,,17.619,16.061,40,24.893,30.644,14.509
A2+AC0-1,29.218,14.542,14.188,34.674,22.831,26.726,12.477
A2+AC0-1,29.295,14.431,15.015,34.877,,,12.325
A2+AC0-1,29.509,15.247,15.26,,22.664,26.368,12.867
A2+AC0-2,31.484,17.409,16.67,35.919,21.674,25.593,14.97
A2+AC0-2,31.63,17.231,16.915,34.995,22.335,27.532,14.819
A2+AC0-2,32.967,17.53,16.393,34.647,22.037,26.073,15.024
A2+AC0-3,34.078,15.462,16.16,32.742,21.349,31.221,14.388
A2+AC0-3,33.363,15.439,17.413,33.789,,,13.838
A2+AC0-3,34.532,15.936,16.248,32.464,21.356,30.788,13.975
A3+AC0-1,36.2,15.282,15.572,34.816,23.98,40,14.573
A3+AC0-1,35.388,15.118,16.474,34.857,23.488,,14.219
A3+AC0-1,36.531,15.479,15.494,33.275,23.486,40,13.687
A3+AC0-2,32.981,17.549,16.749,34.351,24.576,40,14.891
A3+AC0-2,32.711,16.968,17.082,34.969,24.975,40,15.078
A3+AC0-2,33.287,17.614,17.26,35.705,24.859,40,14.967
A3+AC0-3,34.028,16.256,15.026,34.562,22.042,40,13.806
A3+AC0-3,33.956,15.823,14.939,34.651,21.656,40,13.953
A3+AC0-3,35.091,16.74,15.126,35.895,22.604,40,13.84
A4+AC0-1,28.348,,15.591,33.056,21.233,35.731,13.504
A4+AC0-1,28.382,16.536,15.591,34.58,20.883,34.388,13.264
A4+AC0-1,28.825,16.946,15.794,34.882,21.517,36.321,13.85
A4+AC0-2,33.113,15.691,14.838,35.015,26.913,40,12.941
A4+AC0-2,31.767,15.457,14.006,33.737,24.2,40,12.962
A4+AC0-2,32.728,16.098,14.597,34.156,25.467,40,12.89
A4+AC0-3,29.84,16.262,15.538,32.179,22.129,,12.96
A4+AC0-3,27.562,15.037,13.989,31.648,19.342,34.43,13.706
A4+AC0-3,29.982,16.598,15.257,33.451,21.301,36.437,13.398
A5+AC0-1,28.921,16.717,14.423,36.277,24.162,32.528,12.84
A5+AC0-1,26.974,15.314,13.586,35.574,20.894,30.921,13.98
A5+AC0-1,29.03,17.092,15.204,40,23.107,30.748,13.908
A5+AC0-2,35.012,15.98,15.627,40,,,13.997
A5+AC0-2,33.483,15.973,15.032,,23.642,32.278,14.044
A5+AC0-2,33.919,16.572,16.101,40,24.469,33.072,14.276
A5+AC0-3,35.915,19.303,18.047,,23.027,33.502,16.973
A5+AC0-3,37.694,20.425,19.048,40,22.429,30.959,16.307
A5+AC0-3,36.362,19.297,17.846,40,20.961,30.854,16.886
A6+AC0-1,26.472,15.082,14.496,27.918,21.914,26.336,12.953
A6+AC0-1,27.003,15.111,14.555,27.201,19.584,24.257,13.094
A6+AC0-1,26.295,15.659,14.589,28.367,19.939,24.314,12.898
A6+AC0-2,27.998,15.831,15.396,35.015,21.812,27.856,13.747
A6+AC0-2,27.416,15.775,15.586,35.676,21.492,27.715,13.956
A6+AC0-2,27.58,15.994,15.535,34.213,21.936,28.269,14.761
A6+AC0-3,29.723,16.214,15.385,36.532,19.943,25.507,13.201
A6+AC0-3,28.114,15.493,14.732,37.187,19.655,25.034,13.056
A6+AC0-3,28.351,16.065,15.329,35.585,20.268,26.316,13.952
A7+AC0-1,29.909,15.922,15.17,36.413,25.857,40,13.039
A7+AC0-1,29.209,15.451,14.566,34.955,25.862,39.334,13.911
A7+AC0-1,29.299,16.046,15.285,35.598,26.116,39.811,13.715
A7+AC0-2,27.407,15.435,14.286,34.73,22.545,39.125,12.118
A7+AC0-2,26.142,14.375,13.459,34.579,21.827,38.561,12.451
A7+AC0-2,27.061,15.408,15.097,33.469,22.719,40,12.779
A7+AC0-3,24.429,16.864,14.685,36.141,22.931,40,12.566
A7+AC0-3,23.417,15.381,13.4,35.175,21.852,40,13.112
A7+AC0-3,24.329,16.976,14.68,36.54,23.527,39.192,13.104
A8+AC0-1,31.352,15.508,13.989,31.501,20.458,26.276,11.979
A8+AC0-1,30.305,14.503,13.337,30.5,19.408,26.823,12.245
A8+AC0-1,29.613,15.441,13.87,30.512,20.641,26.394,12.22
A8+AC0-2,32.849,17.027,14.91,,18.374,31.069,13.433
A8+AC0-2,31.492,16.848,15.426,36.815,18.842,31.889,13.618
A8+AC0-2,32.347,16.924,14.65,36.887,18.756,31.45,13.565
A8+AC0-3,32.161,18.195,16.057,37.153,23.346,30.737,14.273
A8+AC0-3,30.516,17.955,15.878,,23.762,30.958,14.473
A8+AC0-3,30.438,18.057,16.123,40,23.742,35.502,14.559
A9+AC0-1,25.779,17.322,15.017,36.103,23.302,40,13.782
A9+AC0-1,25.252,17.32,14.931,38.245,23.864,40,13.512
A9+AC0-1,25.353,17.383,14.549,37.252,23.412,40,13.585
A9+AC0-2,,16.176,14.99,33.396,19.441,35.608,12.806
A9+AC0-2,29.457,15.465,14.722,33.74,19.002,,13.028
A9+AC0-2,30.521,15.991,14.659,33.918,19.413,36.748,13.279
A9+AC0-3,34.794,17.567,15.987,34.013,22.827,40,14.108
A9+AC0-3,33.577,16.868,15.766,35.542,22.961,40,14.333
A9+AC0-3,34.573,17.29,15.888,35.157,23.303,40,14.487
A10+AC0-1,26.214,16.711,14.234,32.366,25.575,29.449,11.551
A10+AC0-1,24.659,15.661,12.736,33.307,24.37,29.721,12.032
A10+AC0-1,25.141,16.473,13.484,34.041,25.367,29.92,12.831
A10+AC0-2,20.02,17.132,14.428,,25.099,30.779,12.93
A10+AC0-2,19.685,16.603,14.245,34.869,24.914,32.381,13.346
A10+AC0-2,19.892,16.794,14.278,35.844,25.174,31.169,13.295
A10+AC0-3,22.394,16.585,14.163,30.162,23.856,32.998,12.774
A10+AC0-3,21.98,16.105,13.883,30.505,23.784,34.136,12.465
