"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"A1-1",15.708,3.506,0.819000000000001,25.657,11.896,15.607
"A1-1",16.142,3.482,1.315,25.657,15.392,18.874
"A1-1",17.002,3.972,1.193,25.657,12.274,16.038
"A1-2",15.3206666666667,4.03166666666667,0.912666666666667,26.6826666666667,8.61466666666667,12.7276666666667
"A1-2",26.7676666666667,3.18166666666667,1.34566666666667,24.3996666666667,11.7006666666667,16.1236666666667
"A1-2",15.4656666666667,4.27166666666667,1.39566666666667,25.9326666666667,8.84166666666667,13.1576666666667
"A1-3",12.7316666666667,3.26966666666667,1.79266666666667,24.3176666666667,10.6846666666667,17.2376666666667
"A1-3",12.5776666666667,2.82466666666667,1.86466666666667,21.2426666666667,11.7336666666667,18.5146666666667
"A1-3",14.6746666666667,3.47066666666667,1.91266666666667,25.8516666666667,10.7446666666667,16.4956666666667
"A2-1",16.6616666666667,1.98566666666667,1.63166666666667,22.1176666666667,10.2746666666667,14.1696666666667
"A2-1",16.7386666666667,1.87466666666667,2.45866666666667,22.3206666666667,13.0696666666667,17.1976666666667
"A2-1",16.9526666666667,2.69066666666667,2.70366666666667,24.5956666666667,10.1076666666667,13.8116666666667
"A2-2",16.5463333333333,2.47133333333333,1.73233333333333,20.9813333333333,6.73633333333333,10.6553333333333
"A2-2",16.6923333333333,2.29333333333333,1.97733333333333,20.0573333333333,7.39733333333333,12.5943333333333
"A2-2",18.0293333333333,2.59233333333333,1.45533333333333,19.7093333333333,7.09933333333333,11.1353333333333
"A2-3",20.011,1.395,2.093,18.675,7.282,17.154
"A2-3",19.296,1.372,3.346,19.722,12.093,23.57
"A2-3",20.465,1.869,2.181,18.397,7.289,16.721
"A3-1",22.0403333333333,1.12233333333333,1.41233333333333,20.6563333333333,9.82033333333333,25.8403333333333
"A3-1",21.2283333333333,0.958333333333334,2.31433333333333,20.6973333333333,9.32833333333333,24.0923333333333
"A3-1",22.3713333333333,1.31933333333333,1.33433333333333,19.1153333333333,9.32633333333333,25.8403333333333
"A3-2",18.0023333333333,2.57033333333333,1.77033333333333,19.3723333333333,9.59733333333333,25.0213333333333
"A3-2",17.7323333333333,1.98933333333333,2.10333333333333,19.9903333333333,9.99633333333333,25.0213333333333
"A3-2",18.3083333333333,2.63533333333333,2.28133333333333,20.7263333333333,9.88033333333333,25.0213333333333
"A3-3",20.1616666666667,2.38966666666667,1.15966666666667,20.6956666666667,8.17566666666667,26.1336666666667
"A3-3",20.0896666666667,1.95666666666667,1.07266666666667,20.7846666666667,7.78966666666667,26.1336666666667
"A3-3",21.2246666666667,2.87366666666667,1.25966666666667,22.0286666666667,8.73766666666667,26.1336666666667
"A4-1",14.8086666666667,26.4606666666667,2.05166666666667,19.5166666666667,7.69366666666667,22.1916666666667
"A4-1",14.8426666666667,2.99666666666667,2.05166666666667,21.0406666666667,7.34366666666667,20.8486666666667
"A4-1",15.2856666666667,3.40666666666667,2.25466666666667,21.3426666666667,7.97766666666667,22.7816666666667
"A4-2",20.182,2.76,1.907,22.084,13.982,27.069
"A4-2",18.836,2.526,1.075,20.806,11.269,27.069
"A4-2",19.797,3.167,1.666,21.225,12.536,27.069
"A4-3",16.4853333333333,2.90733333333333,2.18333333333333,18.8243333333333,8.77433333333333,26.6453333333333
"A4-3",14.2073333333333,1.68233333333333,0.634333333333334,18.2933333333333,5.98733333333333,21.0753333333333
"A4-3",16.6273333333333,3.24333333333333,1.90233333333333,20.0963333333333,7.94633333333333,23.0823333333333
"A5-1",15.345,3.141,0.847,22.701,10.586,18.952
"A5-1",13.398,1.738,0.00999999999999979,21.998,7.318,17.345
"A5-1",15.454,3.516,1.628,26.424,9.531,17.172
"A5-2",20.9063333333333,1.87433333333333,1.52133333333333,25.8943333333333,13.4243333333333,21.0413333333333
"A5-2",19.3773333333333,1.86733333333333,0.926333333333334,23.6453333333333,9.53633333333333,18.1723333333333
"A5-2",19.8133333333333,2.46633333333333,1.99533333333333,25.8943333333333,10.3633333333333,18.9663333333333
"A5-3",19.193,2.581,1.325,19.937,6.305,16.78
"A5-3",20.972,3.703,2.326,23.278,5.707,14.237
"A5-3",19.64,2.575,1.124,23.278,4.239,14.132
"A6-1",13.4903333333333,2.10033333333334,1.51433333333333,14.9363333333333,8.93233333333334,13.3543333333333
"A6-1",14.0213333333333,2.12933333333334,1.57333333333333,14.2193333333333,6.60233333333333,11.2753333333333
"A6-1",13.3133333333333,2.67733333333334,1.60733333333333,15.3853333333333,6.95733333333333,11.3323333333333
"A6-2",13.8433333333333,1.67633333333333,1.24133333333334,20.8603333333333,7.65733333333334,13.7013333333333
"A6-2",13.2613333333333,1.62033333333333,1.43133333333333,21.5213333333333,7.33733333333334,13.5603333333333
"A6-2",13.4253333333333,1.83933333333333,1.38033333333333,20.0583333333333,7.78133333333333,14.1143333333333
"A6-3",16.32,2.811,1.982,23.129,6.54,12.104
"A6-3",14.711,2.09,1.329,23.784,6.252,11.631
"A6-3",14.948,2.662,1.926,22.182,6.865,12.913
"A7-1",16.354,2.367,1.615,22.858,12.302,26.445
"A7-1",15.654,1.896,1.011,21.4,12.307,25.779
"A7-1",15.744,2.491,1.73,22.043,12.561,26.256
"A7-2",14.9576666666667,2.98566666666667,1.83666666666667,22.2806666666667,10.0956666666667,26.6756666666667
"A7-2",13.6926666666667,1.92566666666667,1.00966666666667,22.1296666666667,9.37766666666667,26.1116666666667
"A7-2",14.6116666666667,2.95866666666667,2.64766666666667,21.0196666666667,10.2696666666667,27.5506666666667
"A7-3",11.5016666666667,3.93666666666667,1.75766666666667,23.2136666666667,10.0036666666667,27.0726666666667
"A7-3",10.4896666666667,2.45366666666667,0.472666666666667,22.2476666666667,8.92466666666667,27.0726666666667
"A7-3",11.4016666666667,4.04866666666667,1.75266666666667,23.6126666666667,10.5996666666667,26.2646666666667
"A8-1",19.204,3.36,1.841,19.353,8.31,14.128
"A8-1",18.157,2.355,1.189,18.352,7.26,14.675
"A8-1",17.465,3.293,1.722,18.364,8.493,14.246
"A8-2",19.3103333333333,3.48833333333334,1.37133333333333,26.4613333333333,4.83533333333333,17.5303333333333
"A8-2",17.9533333333333,3.30933333333333,1.88733333333333,23.2763333333333,5.30333333333333,18.3503333333333
"A8-2",18.8083333333333,3.38533333333333,1.11133333333333,23.3483333333333,5.21733333333333,17.9113333333333
"A8-3",17.726,3.76,1.622,22.718,8.911,16.302
"A8-3",16.081,3.52,1.443,20.519,9.327,16.523
"A8-3",16.003,3.622,1.688,25.565,9.307,21.067
"A9-1",12.1526666666667,3.69566666666667,1.39066666666667,22.4766666666667,9.67566666666667,26.3736666666667
"A9-1",11.6256666666667,3.69366666666667,1.30466666666667,24.6186666666667,10.2376666666667,26.3736666666667
