"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"A1-2",-1.085,0.256666666666666,-0.318,0.904,-4.69433333333333,-4.23366666666666
"A1-2",NA,NA,NA,NA,NA,NA
"A1-2",-0.939999999999998,0.496666666666668,0.165000000000001,0.154,-4.46733333333333,-3.80366666666666
"A2-2",-0.194833333333332,0.330833333333331,-0.489166666666666,-1.98683333333334,-4.37116666666667,-4.36116666666667
"A2-2",-0.0488333333333344,0.152833333333334,-0.244166666666669,-2.91083333333334,-3.71016666666667,-2.42216666666667
"A2-2",NA,NA,NA,NA,NA,NA
"A3-2",-3.87766666666667,1.437,0.0833333333333315,-0.784000000000002,0.105666666666666,-0.236333333333338
"A3-2",-4.14766666666667,0.855999999999999,0.416333333333333,-0.166,0.504666666666667,-0.236333333333338
"A3-2",-3.57166666666667,1.502,0.594333333333334,0.569999999999997,0.388666666666667,-0.236333333333338
"A4-2",5.1355,-0.424000000000003,-0.228500000000003,0.91,6.339,5.2715
"A4-2",3.7895,-0.658000000000003,-1.0605,-0.367999999999999,3.626,5.2715
"A4-2",4.7505,-0.0170000000000048,-0.469500000000003,0.0509999999999984,4.893,5.2715
"A5-2",5.30483333333333,-1.65616666666667,0.081833333333333,1.12983333333333,3.16383333333333,2.77733333333333
"A5-2",3.77583333333333,-1.66316666666667,-0.513166666666668,-1.11916666666667,-0.724166666666667,-0.0916666666666686
"A5-2",4.21183333333333,-1.06416666666667,0.555833333333331,1.12983333333333,0.102833333333335,0.702333333333335
"A6-2",0.234999999999999,-0.626000000000001,-0.323666666666666,6.01333333333334,0.160000000000001,1.714
"A6-2",-0.347000000000001,-0.682,-0.133666666666667,6.67433333333334,-0.159999999999999,1.573
"A6-2",-0.183000000000003,-0.463000000000001,-0.184666666666667,5.21133333333334,0.284,2.127
"A7-2",-0.959666666666667,0.734333333333333,0.384666666666665,0.18033333333333,-2.29433333333333,0.515666666666664
"A7-2",-2.22466666666667,-0.325666666666667,-0.442333333333335,0.0293333333333337,-3.01233333333333,-0.0483333333333356
"A7-2",-1.30566666666667,0.707333333333332,1.19566666666667,-1.08066666666667,-2.12033333333333,1.39066666666666
"A8-2",1.035,0.485666666666668,-0.212666666666666,7.77166666666667,-3.18566666666667,3.18066666666667
"A8-2",-0.321999999999999,0.306666666666666,0.303333333333334,4.58666666666667,-2.71766666666667,4.00066666666667
"A8-2",0.533000000000005,0.382666666666667,-0.472666666666666,4.65866666666667,-2.80366666666666,3.56166666666667
"A9-2",NA,NA,NA,NA,NA,NA
"A9-2",4.594,-1.27833333333333,0.488,-2.86166666666666,-3.92566666666667,0.598333333333336
"A9-2",NA,NA,NA,NA,NA,NA
"A10-2",NA,NA,NA,NA,NA,NA
"A10-2",-6.8355,-0.861166666666663,-0.422166666666667,0.448499999999999,-1.3725,1.50183333333333
"A10-2",-6.6285,-0.670166666666664,-0.389166666666666,1.4235,-1.1125,0.289833333333334
"A11-2",-2.5305,0.427166666666667,0.280166666666668,4.20383333333334,0.0978333333333339,2.55850000000001
"A11-2",NA,NA,NA,NA,NA,NA
"A11-2",-2.29649999999999,0.63016666666667,-0.234833333333333,5.28683333333334,0.134833333333336,2.55850000000001
"A12-2",6.72866666666667,-0.925000000000001,1.37733333333333,4.071,-0.465000000000001,14.9673333333333
"A12-2",6.02566666666667,-1.589,0.652333333333335,1.634,-0.718000000000001,14.9673333333333
"A12-2",6.79266666666667,-0.922000000000001,1.39033333333333,1.969,0.205999999999999,14.9673333333333
"A13-2",0.391333333333332,0.367666666666667,0.124333333333334,0.722999999999999,-2.245,0.316666666666666
"A13-2",-0.560666666666666,-0.341333333333333,-0.545666666666666,2.114,-2.889,0.110666666666663
"A13-2",-0.0576666666666661,0.0576666666666679,-0.0476666666666652,0.725000000000001,-2.597,0.734666666666666
"A14-2",-0.445333333333334,-1.507,0.474666666666667,-0.441666666666663,-3.17833333333333,-2.192
"A14-2",0.457666666666665,-1.583,0.0516666666666665,1.89633333333333,-2.71433333333333,-1.985
"A14-2",1.34466666666667,-1.586,0.0196666666666665,-0.860666666666667,-3.32133333333333,-1.517
"A15-2",-2.433,-0.285333333333332,1.054,-0.0263333333333335,-0.425333333333333,-2.21066666666666
"A15-2",-3.187,-0.404333333333332,-0.227999999999999,1.06766666666667,-0.942333333333332,-0.775666666666663
"A15-2",-2.557,-0.239333333333333,0.0460000000000018,-0.395333333333333,-0.172333333333333,-1.85666666666667
"A16-2",1.18333333333333,0.307666666666665,0.999,0.336333333333329,-0.793333333333334,0.745666666666667
"A16-2",0.809333333333331,0.377666666666666,-0.239000000000001,-1.42566666666667,-0.668333333333334,1.47366666666666
"A16-2",0.504333333333332,0.334666666666666,0.228999999999999,-1.62966666666667,-0.764333333333334,0.882666666666664
"A17-2",-1.509,-0.517499999999998,-0.001999999999998,2.5485,-0.734499999999997,0.477
"A17-2",-1.174,-0.479499999999998,0.0500000000000016,2.0155,-0.568499999999997,-0.153000000000002
"A17-2",NA,NA,NA,NA,NA,NA
"A18-2",8.17016666666667,0.537166666666668,-0.518333333333333,1.66216666666667,3.02816666666667,-0.912833333333332
"A18-2",8.58016666666667,0.426166666666667,-0.703333333333333,2.08516666666666,3.07316666666667,-0.912833333333332
"A18-2",13.5951666666667,2.14216666666667,-0.334333333333333,2.51116666666667,3.20316666666667,-0.912833333333332
"A19-2",-2.2155,0.603000000000002,0.682,5.202,1.2335,0.185500000000001
"A19-2",1.6215,0.333000000000002,0.670000000000003,4.796,1.3125,-1.1105
"A19-2",NA,NA,NA,NA,NA,NA
"A20-2",-1.60066666666667,-0.155333333333334,0.214666666666668,-0.393999999999995,-0.133666666666665,3.974
"A20-2",-1.23566666666666,-0.263333333333334,0.122666666666667,-1.61,-0.0956666666666646,3.641
"A20-2",NA,NA,NA,NA,NA,NA
"A21-2",-0.458499999999997,0.0965000000000007,-0.172999999999999,5.3745,-1.8375,4.0215
"A21-2",-0.717499999999998,-0.202499999999999,-0.387,0.436500000000002,-2.0565,4.8075
"A21-2",-2.8075,-0.6805,0.883,2.7945,-1.6575,4.8075
"A22-2",-0.6195,-0.905000000000001,-0.459000000000001,-1.808,-2.2875,-3.1665
"A22-2",-0.710500000000001,-1.055,-0.255,-1.395,-2.9435,-3.3225
"A22-2",-0.657500000000001,-1.211,-0.252,-0.522000000000002,-2.7115,-2.9325
"A23-2",-0.561666666666667,0.0173333333333328,0.0543333333333322,-0.0693333333333328,-1.01866666666667,0.290333333333331
"A23-2",-0.58966666666667,0.264333333333333,0.665333333333333,-0.248333333333335,-0.711666666666669,1.10333333333333
"A23-2",-1.28566666666667,-0.445666666666666,0.425333333333333,0.944666666666663,-1.39566666666667,1.40333333333333
"A24-2",-5.02533333333333,-1.27433333333333,0.0506666666666664,-1.12166666666667,1.50666666666666,-5.512
"A24-2",-5.00633333333334,-1.23733333333333,0.308666666666666,-0.902666666666676,1.11666666666666,-5.609
"A24-2",-5.66033333333334,-1.50033333333333,-0.335333333333335,-0.831666666666671,0.701666666666664,-6.097
"A25-2",0.0953333333333326,0.440999999999999,0.0496666666666659,0.262000000000004,0.529666666666666,-2.39966666666667
"A25-2",0.349333333333334,0.183999999999997,0.0376666666666672,1.378,0.482666666666665,-2.04566666666667
"A25-2",-0.720666666666666,-0.0130000000000017,-0.129333333333333,0.907,0.190666666666667,-2.07066666666667
"A26-2",-8.68216666666667,16.4933333333333,-0.487166666666666,-0.600166666666663,-1.32816666666666,0.989333333333335
"A26-2",-8.66416666666667,0.705333333333334,-0.482166666666665,-0.255166666666664,-1.50716666666667,0.989333333333335
"A26-2",-8.78016666666667,0.481333333333334,-0.461166666666666,-0.752166666666664,-1.38516666666667,0.989333333333335
"A27-2",-1.75366666666666,0.172333333333334,0.229666666666668,1.037,0.539000000000002,-0.393000000000001
