"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"A1+AC0-2",-0.963333333333331,0.378333333333333,-0.196333333333333,1.02566666666667,-3.47033333333333,-3.09483333333333
"A1+AC0-2",NA,-0.471666666666665,0.236666666666666,NA,NA,NA
"A1+AC0-2",-0.818333333333332,0.618333333333335,0.286666666666667,0.275666666666666,-3.24333333333333,-2.66483333333333
"A2+AC0-2",-0.237999999999996,0.287666666666665,-0.532333333333332,-1.23783333333333,-3.45483333333333,-3.33533333333333
"A2+AC0-2",-0.0920000000000023,0.109666666666668,-0.287333333333335,-2.16183333333333,-2.79383333333333,-1.39633333333333
"A2+AC0-2",1.245,0.408666666666667,-0.809333333333333,-2.50983333333333,-3.09183333333334,-2.85533333333333
"A3+AC0-2",-3.87766666666667,1.437,0.0833333333333315,-0.784000000000002,0.105666666666666,-0.819000000000003
"A3+AC0-2",-4.14766666666667,0.855999999999999,0.416333333333333,-0.166,0.504666666666667,-0.819000000000003
"A3+AC0-2",-3.57166666666667,1.502,0.594333333333334,0.569999999999997,0.388666666666667,-0.819000000000003
"A4+AC0-2",5.203,-0.441666666666668,-0.212333333333335,1.45066666666667,6.31033333333333,5.12833333333333
"A4+AC0-2",3.857,-0.675666666666668,-1.04433333333333,0.172666666666668,3.59733333333333,5.12833333333333
"A4+AC0-2",4.818,-0.03466666666667,-0.453333333333334,0.591666666666665,4.86433333333333,5.12833333333333
"A5+AC0-2",6.174,-0.923999999999998,0.693000000000001,2.18666666666667,NA,NA
"A5+AC0-2",4.645,-0.930999999999997,0.0980000000000008,NA,0.391333333333336,0.349333333333334
"A5+AC0-2",5.081,-0.331999999999999,1.167,2.18666666666667,1.21833333333334,1.14333333333334
"A6+AC0-2",0.234999999999999,-0.626000000000001,-0.323666666666666,6.01333333333334,0.160000000000001,1.714
"A6+AC0-2",-0.347000000000001,-0.682,-0.133666666666667,6.67433333333334,-0.159999999999999,1.573
"A6+AC0-2",-0.183000000000003,-0.463000000000001,-0.184666666666667,5.21133333333334,0.284,2.127
"A7+AC0-2",-0.959666666666667,0.734333333333333,0.384666666666665,0.18033333333333,-2.29433333333333,0.515666666666664
"A7+AC0-2",-2.22466666666667,-0.325666666666667,-0.442333333333335,0.0293333333333337,-3.01233333333333,-0.0483333333333356
"A7+AC0-2",-1.30566666666667,0.707333333333332,1.19566666666667,-1.08066666666667,-2.12033333333333,1.39066666666666
"A8+AC0-2",1.035,0.485666666666668,-0.212666666666666,NA,-3.18566666666667,3.18066666666667
"A8+AC0-2",-0.321999999999999,0.306666666666666,0.303333333333334,4.58666666666667,-2.71766666666667,4.00066666666667
"A8+AC0-2",0.533000000000005,0.382666666666667,-0.472666666666666,4.65866666666667,-2.80366666666666,3.56166666666667
"A9+AC0-2",NA,-0.577000000000001,0.746333333333334,-3.21533333333333,-3.49633333333333,-3.80333333333333
"A9+AC0-2",4.58433333333333,-1.288,0.478333333333333,-2.87133333333333,-3.93533333333333,NA
"A9+AC0-2",5.64833333333333,-0.762,0.415333333333335,-2.69333333333333,-3.52433333333333,-2.66333333333333
"A10+AC0-2",-6.37033333333333,-0.201999999999997,-0.108999999999999,NA,-1.05733333333333,0.0300000000000011
"A10+AC0-2",-6.70533333333333,-0.730999999999997,-0.292000000000001,0.578666666666663,-1.24233333333333,1.632
"A10+AC0-2",-6.49833333333333,-0.539999999999998,-0.259,1.55366666666666,-0.982333333333335,0.420000000000002
"A11+AC0-2",-2.479,0.478666666666668,0.331666666666669,NA,0.149333333333335,2.61
"A11+AC0-2",-2.181,0.0256666666666683,0.330666666666668,7.93533333333334,0.0523333333333369,2.61
"A11+AC0-2",-2.245,0.681666666666671,-0.183333333333332,5.33833333333333,0.186333333333337,2.61
"A12+AC0-2",6.72866666666667,-0.925000000000001,1.37733333333333,NA,-0.465000000000001,14.9673333333333
"A12+AC0-2",6.02566666666667,-1.589,0.652333333333335,1.634,-0.718000000000001,14.9673333333333
"A12+AC0-2",6.79266666666667,-0.922000000000001,1.39033333333333,1.969,0.205999999999999,14.9673333333333
"A13+AC0-2",0.391333333333332,0.367666666666667,0.124333333333334,0.722999999999999,-2.245,0.316666666666666
