"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"A1+AC0-2","   1.9498097114","   0.7693258375","   1.1457825994","            NaN","  11.0834362666","   8.5435362194"
"A1+AC0-2","             NA","   1.3867105339","   0.8487039713","             NA","             NA","             NA"
"A1+AC0-2","   1.7633676932","   0.6514230466","   0.8197939984","            NaN","   9.4697959087","   6.3415404471"
"A2+AC0-2","   1.1793565923","   0.8192259574","   1.4462664144","   2.3584407110","  10.9649956407","  10.0933510605"
"A2+AC0-2","   1.0658467361","   0.9268021739","   1.2203824459","   4.4748314215","   6.9346993340","   2.6323171742"
"A2+AC0-2","   0.4219078981","   0.7533192669","   1.7524014741","   5.6955427695","   8.5257888939","   7.2367068617"
"A3+AC0-2","  14.6992095047","   0.3693345159","   0.9438743127","   1.7218983767","   0.9293753808","             NA"
"A3+AC0-2","  17.7244218817","   0.5524822424","   0.7493266497","   1.1219434805","   0.7048232075","             NA"
"A3+AC0-2","  11.8899164040","   0.3530636011","   0.6623504554","   0.6736167884","   0.7638352120","             NA"
"A4+AC0-2","   0.0271481933","   1.3581724438","   1.1585604596","   0.3658523252","   0.0126008657","             NA"
"A4+AC0-2","   0.0690124279","   1.5973347276","   2.0624131012","   0.8872012685","   0.0826218209","             NA"
"A4+AC0-2","   0.0354517339","   1.0243201275","   1.3692001290","   0.6635758712","   0.0343312612","             NA"
"A5+AC0-2","   0.0138497140","   1.8973686303","   0.6185662393","             NA","             NA","             NA"
"A5+AC0-2","   0.0399682994","   1.9065970906","   0.9343273469","             NA","   0.7624246488","   0.7849467365"
"A5+AC0-2","   0.0295438161","   1.2587571735","   0.4453464503","             NA","   0.4297789316","   0.4527123807"
"A6+AC0-2","   0.8496849991","   1.5432801751","   1.2515072657","   0.0154812596","   0.8950250709","   0.3048137735"
"A6+AC0-2","   1.2719130067","   1.6043623327","   1.0970784294","   0.0097909643","   1.1172871381","   0.3361087485"
"A6+AC0-2","   1.1352421021","   1.3784051530","   1.1365543431","   0.0269918312","   0.8213107008","   0.2289334216"
"A7+AC0-2","   1.9448604847","   0.6010957258","   0.7659559515","   0.8824990722","   4.9052726679","   0.6336830509"
"A7+AC0-2","   4.6740289395","   1.2532434263","   1.3588001978","   0.9798729905","   8.0686836856","   0.9368132157"
