"","rowname","Freq"
"1","A10+AC0-1",3
"2","A10+AC0-2",3
"3","A10+AC0-3",3
"4","A11+AC0-1",3
"5","A11+AC0-2",3
"6","A11+AC0-3",3
"7","A12+AC0-1",3
"8","A12+AC0-2",3
"9","A12+AC0-3",3
"10","A13+AC0-1",3
"11","A13+AC0-2",3
"12","A13+AC0-3",3
"13","A14+AC0-1",3
"14","A14+AC0-2",3
"15","A14+AC0-3",3
"16","A15+AC0-1",3
"17","A15+AC0-2",3
"18","A15+AC0-3",3
"19","A16+AC0-1",3
"20","A16+AC0-2",3
"21","A16+AC0-3",3
"22","A17+AC0-1",3
"23","A17+AC0-2",3
"24","A17+AC0-3",3
"25","A18+AC0-1",3
"26","A18+AC0-2",3
"27","A18+AC0-3",3
"28","A19+AC0-1",3
"29","A19+AC0-2",3
"30","A19+AC0-3",3
"31","A1+AC0-1",3
"32","A1+AC0-2",3
"33","A1+AC0-3",3
"34","A20+AC0-1",3
"35","A20+AC0-2",3
"36","A20+AC0-3",3
"37","A21+AC0-1",3
"38","A21+AC0-2",3
"39","A21+AC0-3",3
"40","A22+AC0-1",3
"41","A22+AC0-2",3
"42","A22+AC0-3",3
"43","A23+AC0-1",3
"44","A23+AC0-2",3
"45","A23+AC0-3",3
"46","A24+AC0-1",3
"47","A24+AC0-2",3
"48","A24+AC0-3",3
"49","A25+AC0-1",3
"50","A25+AC0-2",3
"51","A25+AC0-3",3
"52","A26+AC0-1",3
"53","A26+AC0-2",3
"54","A26+AC0-3",3
"55","A27+AC0-1",3
"56","A27+AC0-2",3
"57","A27+AC0-3",3
"58","A28+AC0-1",3
"59","A28+AC0-2",3
"60","A28+AC0-3",3
"61","A29+AC0-1",3
"62","A29+AC0-2",3
"63","A29+AC0-3",3
"64","A2+AC0-1",3
"65","A2+AC0-2",3
"66","A2+AC0-3",3
"67","A30+AC0-1",3
"68","A30+AC0-2",3
"69","A30+AC0-3",3
"70","A3+AC0-1",3
"71","A3+AC0-2",3
"72","A3+AC0-3",3
"73","A4+AC0-1",3
"74","A4+AC0-2",3
"75","A4+AC0-3",3
"76","A5+AC0-1",3
"77","A5+AC0-2",3
"78","A5+AC0-3",3
"79","A6+AC0-1",3
"80","A6+AC0-2",3
"81","A6+AC0-3",3
"82","A7+AC0-1",3
"83","A7+AC0-2",3
"84","A7+AC0-3",3
"85","A8+AC0-1",3
"86","A8+AC0-2",3
"87","A8+AC0-3",3
"88","A9+AC0-1",3
"89","A9+AC0-2",3
"90","A9+AC0-3",3
"91","B10+AC0-1",3
"92","B10+AC0-2",3
"93","B10+AC0-3",3
"94","B11+AC0-1",3
"95","B11+AC0-2",3
"96","B11+AC0-3",3
"97","B12+AC0-1",3
"98","B12+AC0-2",3
"99","B12+AC0-3",3
"100","B13+AC0-1",3
"101","B13+AC0-2",3
"102","B13+AC0-3",3
"103","B14+AC0-1",3
"104","B14+AC0-2",3
"105","B14+AC0-3",3
"106","B16+AC0-1",3
"107","B16+AC0-2",3
"108","B16+AC0-3",3
"109","B17+AC0-1",3
"110","B17+AC0-2",3
"111","B17+AC0-3",3
"112","B18+AC0-1",3
"113","B18+AC0-2",3
"114","B18+AC0-3",3
"115","B19+AC0-1",3
"116","B19+AC0-2",3
"117","B19+AC0-3",3
"118","B1+AC0-1",3
"119","B1+AC0-2",3
"120","B1+AC0-3",3
"121","B20+AC0-1",3
"122","B20+AC0-2",3
"123","B20+AC0-3",3
"124","B21+AC0-1",3
"125","B21+AC0-2",3
"126","B21+AC0-3",3
"127","B22+AC0-1",3
"128","B22+AC0-2",3
"129","B22+AC0-3",3
"130","B23+AC0-1",3
"131","B23+AC0-2",3
"132","B23+AC0-3",3
"133","B24+AC0-1",3
"134","B24+AC0-2",3
"135","B24+AC0-3",3
"136","B25+AC0-1",3
"137","B25+AC0-2",3
"138","B25+AC0-3",3
"139","B26+AC0-1",3
"140","B26+AC0-2",3
"141","B26+AC0-3",3
"142","B27+AC0-1",3
"143","B27+AC0-2",3
"144","B27+AC0-3",3
"145","B28+AC0-1",3
"146","B28+AC0-2",3
"147","B28+AC0-3",3
"148","B29+AC0-1",3
"149","B29+AC0-2",3
"150","B29+AC0-3",3
"151","B2+AC0-1",3
"152","B2+AC0-2",3
"153","B2+AC0-3",3
"154","B30+AC0-1",3
"155","B30+AC0-2",3
"156","B30+AC0-3",3
"157","B3+AC0-1",3
"158","B3+AC0-2",3
"159","B3+AC0-3",3
"160","B4+AC0-1",3
